22,Government consumption expenditures and gross investment,-1.1,3.9,3.4,5.2,-4.2,-1.5,-0.3,-3.4,-1.5,1.6,5.4,5.1,2.9,5.7,3.6,1.8,3.1,5.1,3.1
23,Federal,-3.2,2.9,2.6,17.2,-8,-7.5,3.1,-8.5,-3.3,-0.4,9,4.6,-1.1,5.3,-0.3,-0.4,4.3,8.9,4
24,National defense,-3.9,3.2,3.1,-7.9,-2.8,-4.6,-3.7,-11.2,2,-2.9,7.6,4.9,0.8,6.7,-1.3,-2.5,6.4,13.9,4.8
25,Nondefense,-2.3,2.5,1.8,63,-14.3,-11.3,13,-5,-9.7,2.9,10.8,4.3,-3.5,3.4,0.9,2.6,1.5,2.6,2.9
26,State and local,0.2,4.4,3.9,-1.6,-1.8,2.3,-2.3,-0.1,-0.4,2.7,3.4,5.3,5.4,5.9,6.1,3.1,2.3,2.9,2.5
27,Gross domestic income (GDI) 1,2.8,1.7,3,4.2,5.3,4.4,6.4,1.7,-0.3,3.9,-1.4,1.7,2.1,2.7,5.1,3,2,1.4,4.5
28,Average of GDP and GDI,2.7,2.3,2.9,4.9,5.9,3.9,6.9,0.3,0,3.3,1,2.3,2.3,3.5,4.1,2.3,2.5,2.2,3.5
29,Final sales of domestic product,1.9,3.3,2.7,7.8,8.7,0.4,3.2,-0.9,2.3,3.5,1.9,5.1,2.6,3,3.7,2.1,1.9,3.3,3.3
30,Gross domestic purchases,2.8,2.3,3.1,6.5,7,4.4,7.4,1.4,-0.2,0.2,2.7,2.4,2.5,4.4,3,2.2,3.8,3.4,2.1
31,Final sales to domestic purchasers,2.3,2.7,3,8.7,9.2,1.4,3.4,1.5,1.8,0.9,1.3,4.6,2.6,3.1,3.5,2.7,2.8,3.7,3
32,Final sales to private domestic purchasers,3,2.5,3,9.5,12.3,2,4.1,2.5,2.4,0.8,0.6,4.6,2.5,2.6,3.5,2.9,2.7,3.4,2.9
33,Gross national product (GNP),2.4,2.7,2.6,5.5,5.4,3.5,7.8,-1.8,0.9,2.9,2.8,2.1,2.5,4.3,3.1,1.4,2.7,2.4,3.3
34,Disposable personal income,-5.5,5.1,2.7,57.6,-27.7,-4.5,-4.5,-10.9,-1.8,6.6,3.8,10.9,3.4,1.4,3.2,5.6,1,0.2,1.9
35,GDP,9.8,6.6,5.3,11.1,13.2,9.8,15.1,7.3,9.7,7.4,7.2,6.6,4.3,7.7,4.8,4.7,5.6,5,4.8
36,GDI,10.1,5.3,5.5,9.6,12,10.8,14,10.2,9.1,8.6,2.3,5.5,4,6,6.7,6.1,4.6,3.3,6.9
37,Average of GDP and GDI,10,6,5.4,10.3,12.6,10.3,14.5,8.7,9.4,8,4.7,6,4.2,6.8,5.8,5.4,5.1,4.2,5.9
38,Final sales of domestic product,9.2,7,5.3,13.5,15.6,6.7,10.5,7.5,12,8.2,5.8,8.9,4.7,6.3,5.3,5.2,4.5,5.3,5.7
39,Gross domestic purchases,9.9,5.8,5.5,11.4,13.4,10.4,15.1,9.6,8.4,5,6.4,5.8,4.1,7.1,4.8,5.3,6.4,5.4,4.4
40,Final sales to domestic purchasers,9.3,6.2,5.5,13.8,15.7,7.4,10.7,9.8,10.6,5.7,5.1,8,4.4,5.8,5.3,5.8,5.3,5.7,5.2
41,Final sales to private domestic purchasers,10,6.3,5.4,14,18.8,8.1,11.5,10.9,10.7,6.1,4.6,8.6,4.9,5,5.3,5.9,5.3,5.3,5.2
42,GNP,9.7,6.4,5.1,10.9,12,9.9,15.5,6.5,10.4,7.6,6.6,5.9,4.4,7.6,4.7,4.5,5.3,4.4,5.7
43,Disposable personal income,0.7,9,5.3,64.8,-23.1,0.9,2,-4,5.6,11.7,7.9,15.3,6.4,4.1,4.9,9.2,3.6,1.8,4.3
r Revised,,,,,,,,,,,,,,,,,,,,
1. Gross domestic income deflated by the implicit price deflator for gross domestic product.,,,,,,,,,,,,,,,,,,,,
