25,Nondefense,-0.2,3.4,1.6,11.2,5.8,-2.3,2.5,1.8,0.4,2.1,3.5,6.4,8.8,-0.5,1.2,2.4
26,State and local,0.6,1.1,3.9,1.7,-1.6,0.2,4.4,3.9,0.8,0.9,5.3,-1,-0.9,1.4,5.7,2.7
27,Gross domestic income (GDI) 1,2.4,3,2.6,-2.4,6.6,2.8,1.7,3,3,2.8,2.6,0.1,5.1,1,2.9,2.7
28,Average of GDP and GDI,2.4,3,2.6,-2.3,6.3,2.7,2.3,2.9,3,2.4,3,-0.5,5.4,1.1,3.1,2.6
29,Final sales of domestic product,2.5,2.9,2.5,-1.7,5.8,1.9,3.3,2.7,3.1,1.9,3.7,-1.3,5,1.7,3.6,2.7
30,Gross domestic purchases,2.6,3.1,2.6,-1.9,7.1,2.8,2.3,3.1,3,2.5,2.9,0.1,6.4,1,3.1,2.9
31,Final sales to domestic purchasers,2.6,3,2.5,-1.4,6.9,2.3,2.7,3,3.1,2.2,3.2,-0.1,5.6,1.4,3.5,3
32,Final sales to private domestic purchasers,3,3.2,2.3,-2.4,8.5,3,2.5,3,3.6,2.3,2.9,-0.4,6.9,1.6,3.3,3
33,Gross national product,2.7,2.9,2.5,-2.5,5.7,2.4,2.7,2.6,3.3,1.8,3.2,-1.4,5.5,1.2,3,2.5
34,Real disposable personal income,3.1,3.6,3.1,6.3,3.4,-5.5,5.1,2.7,3.5,4,2.3,4.5,1,-0.8,4.6,2.2
35,Gross domestic purchases,1.8,2.2,1.4,1.3,4.2,6.9,3.3,2.4,1.9,2.1,1.3,1.6,5.8,6.3,2.3,2.4
36,Gross domestic purchases excluding food and energy 2,1.7,2.1,1.6,1.5,3.9,6.2,3.5,2.5,1.7,2.2,1.4,1.8,5.3,5.8,2.6,2.6
37,GDP,1.8,2.3,1.7,1.3,4.5,7.1,3.6,2.4,1.9,2.2,1.5,1.7,6.2,6.5,2.6,2.5
38,GDP excluding food and energy 2,1.8,2.3,1.8,1.5,4.1,6.3,3.9,2.7,1.9,2.4,1.6,1.8,5.5,6,3,2.7
39,PCE,1.7,2,1.4,1.1,4.1,6.6,3.8,2.5,1.7,2,1.4,1.2,5.8,6,2.8,2.5
40,PCE excluding food and energy 2,1.6,1.9,1.6,1.3,3.6,5.4,4.1,2.8,1.6,2,1.6,1.4,4.9,5.2,3.2,2.8
41,Market-based PCE 3,1.4,1.8,1.3,1,3.6,6.4,3.6,2.2,1.4,1.7,1.3,1,5.3,6,2.7,2.1
42,"Market-based PCE excluding food and energy 2,3",1.2,1.6,1.5,1.3,2.9,5,4,2.5,1.2,1.7,1.5,1.3,4.1,5,3.2,2.4
r Revised,,,,,,,,,,,,,,,,,
1. Gross domestic income deflated by the implicit price deflator for gross domestic product.,,,,,,,,,,,,,,,,,
"2. Food excludes personal consumption expenditures for purchased meals and beverages, which are classified in food services.",,,,,,,,,,,,,,,,,
"3. This index is a supplemental measure that is based on household expenditures for which there are observable price measures. It excludes most implicit prices (for example, financial services furnished without payment) and the final consumption expenditures of nonprofit institutions serving households.",,,,,,,,,,,,,,,,,
Note.  Estimates under the Percent change from preceding year columns are calculated from annual data.  Estimates under the Percent change from fourth quarter to fourth quarter columns are calculated from fourth quarter values relative to the same quarter one year prior.,,,,,,,,,,,,,,,,,
