id,indicator_name,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12
21,"Retail sales excluding automobile and other motor vehicle dealers, building material and garden equipment and supplies dealers, and gasoline stations (millions of dollars at monthly and quarterly rates) 2",1184807,399383,398703,403771,1201857,403872,404125,407559,1215556,,Census Bureau,Census Bureau
22,Services,13478.1,13599,13675.7,13745.2,13673.3,13840.3,13899.6,13990.8,13910.2,,NIPA,....
23,Household consumption expenditures (for services),12856.8,12962.8,13032.4,13094.1,13029.8,13180.1,13237.3,13339.2,13252.2,,NIPA,....
24,Housing and utilities,3534,3559.7,3574,3592.2,3575.3,3607.6,3612.5,3646.1,3622.1,,NIPA,....
25,Housing,3078.8,3107.7,3126,3139.6,3124.4,3155.3,3166.7,3179.8,3167.2,,NIPA,....
26,Completed stationary housing units (thousands of units),408.5,137.7,150.6,137.4,425.7,139.1,134.1,128.1,401.3,,Census Bureau,BEA
27,"CPI, rent of primary residence (1982-84=100)",418,421.2,422.7,423.9,422.6,425.2,426.3,427.5,426.3,,Bureau of Labor Statistics,Bureau of Labor Statistics
28,Electricity,258.1,250.3,245.3,249.4,248.3,253.3,248.1,257,252.8,,NIPA,....
29,Sales of electricity to ultimate residential customers (millions of megawatt-hours at monthly and quarterly rates),382.1,124.5,122.9,124.4,371.8,125.4,123,127.2,375.6,,Energy Information Administration-BEA,BEA
30,"CPI, electricity (1982-1984=100)",279,279,277.8,279.3,278.7,281.5,280.9,281.4,281.3,,Bureau of Labor Statistics,Bureau of Labor Statistics
31,Natural gas,61.8,64.7,65,64.4,64.7,59,56.7,67.8,61.2,,NIPA,....
32,Sales of gas to ultimate residential customers (billions of cubic feet at monthly and quarterly rates),1077.1,373.9,384,380.8,1138.7,347.3,332,386.4,1065.7,,Energy Information Administration,BEA
33,"CPI, utility (piped) gas service (1982-1984=100)",228.6,229.2,225.5,227,227.2,228.1,229.2,235.7,231,,Bureau of Labor Statistics,Bureau of Labor Statistics
34,Health care 3,3274.3,3319.6,3342.6,3370,3344,3385.2,3396.2,3411.7,3397.7,,NIPA,....
35,Physician services,785.6,800,805.9,811.1,805.7,814.1,813.3,815.3,814.3,,NIPA,....
36,Taxable offices of physicians and tax-exempt outpatient care centers revenue (millions of dollars),206463.9,…,…,…,212458.4,…,…,…,215053.4,,Census Bureau,BEA
37,Hospital and nursing home services,1719.6,1740.9,1755.2,1767.3,1754.5,1775.3,1782.2,1790.7,1782.7,,NIPA,....
38,Taxable and tax-exempt hospitals and nursing and residential care facilities revenue (millions of dollars),502172.8,…,…,…,525078.7,…,…,…,521179.5,,Census Bureau,BEA
39,Transportation services,659.4,653.6,655.9,653.6,654.4,660.1,664.5,689.5,671.4,,NIPA,....
40,Motor vehicle maintenance and repair,263.2,260.9,256.2,253.3,256.8,257.6,261.4,267.3,262.1,,NIPA,....
41,Taxable automotive repair and maintenance revenue (millions of dollars),44660,…,…,…,43572,…,…,…,44466.6,#,Census Bureau,BEA
42,Air transportation,184.3,182.3,188.7,191.3,187.4,192,192.7,205.9,196.9,,NIPA,....
43,Taxable domestic air transportation revenue (millions of dollars),35694.2,…,…,…,36294.1,…,…,…,38117,#,Bureau of Transportation Statistics,BEA
44,Recreation services,773.6,777.9,778,780.9,778.9,781.5,796.4,803.3,793.7,,NIPA,....
45,"Membership clubs, sports centers, parks, theaters, and museums",291.2,294.9,293.4,297.1,295.1,297.9,307.3,304.5,303.2,,NIPA,....
46,Taxable and tax-exempt other amusement and recreation industries revenue (millions of dollars),32082.2,…,…,…,32059.6,…,…,…,32913.2,#,Census Bureau,BEA
47,"Taxable amusement parks and arcades admissions revenue and tax-exempt museums, historical sites, and similar insitutions revenue (millions of dollars)",10378.2,…,…,…,10639.8,…,…,…,11187.2,#,Census Bureau,BEA
48,Taxable performing arts companies admissions revenue and tax-exempt performing arts companies revenue (millions of dollars),3634.3,…,…,…,3886.1,…,…,…,3909.6,#,Census Bureau,BEA
49,Taxable spectator sports admissions revenue (millions of dollars),3821.2,…,…,…,3679.6,…,…,…,3686.6,#,Census Bureau,BEA
50,Gambling,205.7,202.7,207.8,209.2,206.6,208.8,212.7,217.6,213,,NIPA,....
51,Total gaming win revenue (millions of dollars),1757,1684.7,1659.6,1752.2,1698.8,1716.8,1756.5,1870.1,1781.1,,State Gaming Commissions,BEA
52,Taxable gambling industries revenue (millions of dollars),10395,…,…,…,10286.4,…,…,…,10556.1,#,Census Bureau,BEA
53,Food services and accommodations,1417.5,1424.2,1432.7,1437.7,1431.5,1450.6,1461.1,1460.7,1457.4,,NIPA,....
54,Food services,1216.1,1225.3,1232,1240.2,1232.5,1251.8,1256.3,1256.2,1254.8,,NIPA,....
55,Food services and drinking places retail sales (millions of dollars at monthly and quarterly rates),282886,94891,95503,96284,286678,97124,97636,97709,292469,,Census Bureau,Census Bureau
56,Accommodations,201.4,198.9,200.7,197.5,199,198.7,204.8,204.5,202.7,,NIPA,....
57,Total accommodations industries revenue (millions of dollars),85174.1,…,…,…,83785.9,…,…,…,85580.1,,Census Bureau,BEA
58,Financial services,1013.1,1029.4,1047.7,1054.1,1043.7,1064.7,1077.6,1085.5,1075.9,,NIPA,....
59,Financial service charges and fees,133,131.4,135.2,135.3,134,135.4,135.4,135.5,135.4,,NIPA,....
60,Service charges on deposit accounts (millions of dollars),7721,…,…,…,7883.3,…,…,…,7969.6,#,Federal Deposit Insurance Corporation,BEA
61,Other services,1662.2,1671.5,1673.3,1675.8,1673.5,1698.9,1696,1708.1,1701,,NIPA,....
62,Communication,307.3,308.9,309.8,308.9,309.2,309.3,309.1,311.1,309.8,,NIPA,....
63,Wireless telecommunications carriers revenue from household consumers and individual users (millions of dollars),51877.4,…,…,…,52147.8,…,…,…,52534.5,#,Census Bureau,BEA
64,Education services,350.9,352.4,353.8,356.2,354.1,357,357,357.2,357.1,,NIPA,....
65,Commercial and vocational schools,83.7,83.4,84.5,85.2,84.4,85.7,85.7,85.6,85.6,,NIPA,....
66,Taxable and tax-exempt educational services revenue (millions of dollars),27683.4,…,…,…,28237.3,…,…,…,28657.4,#,Census Bureau,BEA
67,Social services and religious activities,331.8,336.4,338.4,341.3,338.7,343.9,344.6,346.3,344.9,,NIPA,....
68,Taxable and tax-exempt child daycare services revenue (millions of dollars),16571.1,…,…,…,16290.5,…,…,…,16438.4,#,Census Bureau,BEA
69,Taxable and tax-exempt individual and family services revenue (millions of dollars),44996.1,…,…,…,45086.6,…,…,…,46283.8,#,Census Bureau,BEA
70,Taxable and tax-exempt vocational rehabilitation services revenue (millions of dollars),4492.6,…,…,…,4621.6,…,…,…,4755.7,#,Census Bureau,BEA
71,Taxable and tax-exempt community food and housing and emergency services revenue (millions of dollars),15344.4,…,…,…,15176,…,…,…,15359.8,#,Census Bureau,BEA
72,Final consumption expenditures of nonprofit institutions serving households (NPISHs) 4,621.3,636.3,643.3,651.1,643.5,660.2,662.3,651.5,658,,NIPA,....
73,Gross output of nonprofit institutions 5,2190.4,2230.5,2253.8,2276.6,2253.6,2292.9,2301.3,2296.6,2297,,NIPA,....
74,"Health, gross output",1264.7,1287.8,1297.4,1305.6,1296.9,1313,1319.5,1326.3,1319.6,,NIPA,....
75,Tax-exempt hospitals and nursing and residential care facilities expenses (millions of dollars),362396.7,…,…,…,372916.5,…,…,…,379080.3,#,Census Bureau,BEA
76,"Recreation services, gross output",80.8,82.4,84,84.3,83.6,85.1,85.2,84.8,85,,NIPA,....
77,"Tax-exempt other amusement and recreation industries, performing arts companies, and museums, historical sites, and similar institutions expenses (millions of dollars)",12462,…,…,…,13015.9,…,…,…,13349.9,#,Census Bureau,BEA
78,"Social services, gross output",242.8,242.3,240.9,241.9,241.7,244.9,245.7,247.1,245.9,,NIPA,....
79,Tax-exempt social assistance expenses (millions of dollars),48123.6,…,…,…,47912.7,…,…,…,48811.9,#,Census Bureau,BEA
80,Less: Receipts from sales of goods and services by nonprofit institutions 6,1569.1,1594.2,1610.5,1625.5,1610.1,1632.7,1639,1645.1,1639,,NIPA,....
81,Gross private domestic investment,5297.8,…,…,…,5345.2,…,…,…,5289.9,,NIPA,....
82,Fixed investment 7,5201.1,…,…,…,5269.2,…,…,…,5274.4,,NIPA,....
83,Nonresidential,4018.5,…,…,…,4089.4,…,…,…,4073.1,,NIPA,....
84,Structures,916,…,…,…,908.6,…,…,…,910.6,,NIPA,....
85,"Commercial and healthcare, manufacturing, power and communication, and other structures",770.3,…,…,…,767.7,…,…,…,770.4,,NIPA,....
86,Construction spending (value put in place) (annual rates),741.6,740.6,744.1,747.2,744,747.5,748.6,749,748.4,,Census Bureau,Census Bureau
87,Oil and gas well drilling and exploration,87.3,…,…,…,83.7,…,…,…,83.2,,NIPA,....
88,Footage drilled (millions of feet) 8,66,…,…,…,71.6,…,…,…,64.5,,American Petroleum Institute,BEA
89,Cost per foot (dollars),443.5,…,…,…,450,…,…,…,447.4,,BEA,BEA
90,Other 9,58.4,…,…,…,57.2,…,…,…,57.1,,NIPA,....
91,Equipment 10,1499.7,…,…,…,1548.1,…,…,…,1516.1,,NIPA,....
92,New autos and new light trucks,331.9,…,…,…,321.2,…,…,…,343.1,,NIPA,....
93,"Unit sales, see personal consumption expenditures section",,,,,,,,,,,,
94,"Average unit value, see personal consumption expenditures section",,,,,,,,,,,,
95,Business share of new auto purchases (percent),47.7,50.04,48.44,51.65,50.05,50.63,48.85,49.58,49.69,,IHS Markit Polk-BEA,BEA
96,Business share of new light truck purchases (percent),44.84,43.53,43.62,43.28,43.48,45.07,43.47,42.86,43.77,,IHS Markit Polk-BEA,BEA
97,"Other trucks, buses, and truck trailers",63.1,…,…,…,63.8,…,…,…,59.7,,NIPA,....
98,Retail sales of medium/heavy trucks (thousands of units),475.3,516.7,500.5,476,497.7,462.4,490.6,453.9,469,,Wards Intelligence,BEA
99,Net purchases of used autos and used light trucks,-133.3,…,…,…,-133.6,…,…,…,-144.5,,NIPA,....
100,"Other equipment, including aircraft",1237.9,…,…,…,1296.6,…,…,…,1257.8,,NIPA,....
101,Manufacturers' shipments of nondefense capital goods (millions of dollars at monthly and quarterly rates),248034,89729,87911,84625,262265,82848,82024,84779,249651,,Census Bureau,Census Bureau
102,Manufacturers' shipments of nondefense capital goods other than aircraft (millions of dollars at monthly and quarterly rates),222170,73650,73583,73534,220767,73795,73965,74327,222087,,Census Bureau,Census Bureau
103,Intellectual property products,1602.7,…,…,…,1632.8,…,…,…,1646.4,,NIPA,....
104,Software,690.7,…,…,…,707.3,…,…,…,716,,NIPA,....
105,Total revenue of software publishers (millions of dollars),136280.4,…,…,…,140751.1,…,…,…,142154.7,,Census Bureau,BEA
106,Total revenue of computer systems design and related services (millions of dollars),175279.1,…,…,…,178236.3,…,…,…,181060.1,,Census Bureau,BEA
107,Residential,1182.6,…,…,…,1179.7,…,…,…,1201.3,,NIPA,....
108,Permanent site,565.8,…,…,…,549.2,…,…,…,550.4,,NIPA,....
109,Construction spending (value put in place) (annual rates) 11,563.9,550.2,543.7,543.2,545.7,543.9,544,547.9,545.3,,Census Bureau,Census Bureau
110,Single-family structures,434.1,422.7,418.2,419.9,420.3,422.6,424.3,428.5,425.1,,Census Bureau,Census Bureau
111,Multifamily structures,129.8,127.5,125.5,123.3,125.4,121.3,119.7,119.4,120.1,,Census Bureau,Census Bureau
112,1-unit structures started (thousands at annual rates),1004,861,1006,1045,970.7,943,1021,1084,1016,,Census Bureau,Census Bureau
113,Manufactured homes,21,…,…,…,21,…,…,…,20.8,,NIPA,....
114,Manufacturers' shipments (thousands of units at annual rates),107.6,94.8,114,105.8,104.8,123.2,103.2,84.9,103.8,,Institute for Building Technology & Safety,BEA
115,Improvements,394.4,…,…,…,411.8,…,…,…,421.8,,NIPA,....
116,Building material and garden equipment and supplies dealers' retail sales (millions of dollars at monthly and quarterly rates),121394,41153,41274,41744,124171,41622,41342,40679,123643,,Census Bureau,Census Bureau
117,Checkout receipt-based data on sales of home improvement products (millions of dollars),10592.3,...,...,...,...,...,...,...,...,,Circana/Checkout,BEA
118,Aggregate weekly payrolls of production workers for residential remodelers (thousands of dollars),314332,323410,339692,343040,335380.7,356028,346422,352226,351558.7,,Bureau of Labor Statistics,Bureau of Labor Statistics
119,Brokers' commissions and other ownership transfer costs,178.1,…,…,…,,…,…,…,,,NIPA,....
120,Existing home sales (thousands of units at annual rates),4071.8,4099.5,3926.4,3764,3929.9,4055.7,4180.4,4211.3,4149.1,,National Association of Realtors,BEA
121,Average sales price of existing homes (thousands of dollars),410.5,413.2,411.5,414.4,413,417.6,420.6,425.8,421.4,,National Association of Realtors,BEA
122,New home sales (thousands of units at annual rates),693.3,707,691,726,708,615,674,698,662.3,,Census Bureau,Census Bureau
123,Average sales price of new homes (thousands of dollars),498.5,513.2,475.6,505.8,498.2,525.9,485,513.6,508.2,,Census Bureau,....
124,Other,23.2,,,,23.6,,,,23.4,,NIPA,....
125,Change in private inventories 12,96.8,…,…,…,76,…,…,…,15.5,,NIPA,....
126,Farm,7.7,…,…,…,9.7,…,…,…,10.9,,NIPA,....
127,"Mining, utilities, and construction",-6.9,-5.5,-5.5,-5.5,-5.5,9,9,9,9,,NIPA,....
128,Manufacturing and trade (excludes nonmerchant wholesalers),100.6,94.9,74.5,14.1,61.2,41.4,22,-102.4,-13,,NIPA,....
129,Manufacturing,4,0.6,19.7,-18.7,0.5,0.8,24.1,21.4,15.4,,NIPA,....
130,Durable goods,4.2,7.3,6.1,-11,0.8,1.3,25,21.5,15.9,,NIPA,
131,Nondurable goods,-0.2,-6.7,13.5,-7.7,-0.3,-0.6,-0.9,-0.1,-0.5,,NIPA,
132,Merchant wholesalers,25.3,18.8,11.9,-21.3,3.1,10.8,-22.8,-67,-26.3,,NIPA,....
133,Durable goods,10.3,-2.7,17.4,-41.8,-9,-8.8,-38.8,-50.1,-32.5,,NIPA,
134,Nondurable goods,15,21.5,-5.6,20.5,12.1,19.6,15.9,-16.9,6.2,,NIPA,
135,Retail,71.3,75.5,43,54,57.5,29.9,20.8,-56.9,-2.1,,NIPA,....
136,Retail excluding motor vehicles and parts dealers,8.7,28.7,30.4,0,19.7,3.9,26.6,-20.9,3.2,,NIPA,....
137,Motor vehicles and parts dealers 13,62.7,46.8,12.6,54,37.8,26,-5.8,-35.9,-5.2,,NIPA,....
138,Nonmerchant wholesalers,-6.2,-11.2,2.6,-24.4,-11,6,0.9,-1.6,1.8,,NIPA,....
139,Other industries,1.5,21.6,21.6,21.6,21.6,6.8,6.8,6.8,6.8,,NIPA,....
140,Change in inventories (at monthly and quarterly rates) 14,,,,,,,,,,,,
141,Manufacturing and trade,27.4,8.6,6.3,0.6,15.5,3.9,5.5,-3.9,5.5,,Census Bureau,Census Bureau-BEA
142,Manufacturing,2,0.1,1.2,-2.3,-0.9,-0.5,2.7,3.3,5.5,,Census Bureau,Census Bureau
143,Durable goods,1.4,0.3,0.2,-1.1,-0.6,-0.2,2.3,2.2,4.3,,Census Bureau,Census Bureau
144,Nondurable goods,0.6,-0.2,1,-1.2,-0.3,-0.4,0.4,1.1,1.1,,Census Bureau,Census Bureau
145,Merchant wholesalers,6.5,2.2,1.6,-1.7,2.1,1.1,-0.5,-4.1,-3.6,,Census Bureau,Census Bureau
146,Durable goods,4,0.3,1.8,-3,-0.9,-0.3,-2.5,-3.6,-6.3,,Census Bureau,Census Bureau
147,Nondurable goods,2.5,2,-0.3,1.3,3,1.4,1.9,-0.6,2.7,,Census Bureau,Census Bureau
148,Retail,18.8,6.2,3.5,4.6,14.4,3.4,3.3,-3,3.7,,Census Bureau-BEA,Census Bureau-BEA
149,Retail excluding motor vehicles and parts dealers,3.5,2.9,3.2,0.6,6.6,1.1,3.3,-0.7,3.7,,Census Bureau,Census Bureau
150,Motor vehicles and parts dealers,15.3,3.4,0.3,4,7.7,2.3,0,-2.3,-0.1,,Census Bureau-BEA,Census Bureau-BEA
151,Inventory valuation adjustment:,,,,,,,,,,,,
152,Nonfarm,8.4,-9.2,0.1,10,0.3,-15.8,-57.1,-74,-49,,NIPA,....
153,Manufacturing and trade,-9.1,-8.5,-1.2,6.8,-1,-5.8,-43.4,-56.2,-35.1,,NIPA,....
154,"PPI, farm products (2017=100)",131,132.2,132.2,133.1,132.5,130.9,133.1,132.7,132.2,,Bureau of Labor Statistics,BEA
155,"PPI, petroleum products (2017=100)",157.4,154.6,144.5,135.8,144.9,135.8,135.3,144.9,138.7,,Bureau of Labor Statistics,BEA
156,"PPI, industrial commodities (2017=100)",132.6,133.2,132.2,130.4,131.9,130.8,130.2,130.3,130.5,,Bureau of Labor Statistics,BEA
157,Refiner crude acquisition cost (2017=100),138.2,137.1,130.7,121.3,129.7,122.6,119.7,119.4,120.6,,Energy Information Administration,BEA
158,Unit change in motor vehicle inventories (millions of units):,,,,,,,,,,,,
159,Autos,0.1,0.4,-0.5,0,-0.1,0.3,-0.2,-0.3,-0.1,,Wards Intelligence-BEA,Federal Reserve Board-BEA
160,Light trucks,1.2,0.7,0.3,-0.1,0.3,-0.1,-0.4,-0.9,-0.5,,Wards Intelligence,BEA
161,Net exports of goods and services,-906.9,…,…,…,-943.7,…,…,…,-931.1,,NIPA,....
162,Exports,3154.3,…,…,…,3220.3,…,…,…,3218.6,,NIPA,....
163,Goods,2053.4,…,…,…,2088.3,…,…,…,2057.2,,NIPA,....
164,"U.S. exports of goods, international-transactions-accounts basis (annual rates)",2067.3,2100.1,2151.4,2113.4,2121.6,2058.4,2132.2,2042.1,2077.6,,Census Bureau-BEA,Census Bureau-BEA
165,Excluding gold,2039.4,2069.3,2107.8,2070.9,2082.7,2015.4,2087.4,2005.6,2036.1,,Census Bureau-BEA,Census Bureau-BEA
166,"U.S. exports of goods, Census basis (monthly and quarterly rates) 15",512.9,173,178,174.5,525.5,169.9,175.5,168.8,514.2,,Census Bureau,Census Bureau-BEA
167,"Foods, feeds, and beverages",39.1,13.6,13.5,14.2,41.2,13.6,14.6,14.5,42.7,,Census Bureau,Census Bureau-BEA
168,Industrial supplies and materials,179.9,60.4,61.3,59.9,181.5,57.4,61.7,59.8,178.8,,Census Bureau,Census Bureau-BEA
169,"Capital goods, except automotive",159.3,56.1,57.8,55.9,169.8,52,53.8,52.4,158.2,,Census Bureau,Census Bureau-BEA
170,"Automotive vehicles, parts, and engines",44.4,13.4,14.3,14.8,42.5,12.1,13.9,13,39,,Census Bureau,Census Bureau-BEA
171,Consumer goods,67.4,21.8,22.8,21.4,66,20.1,21.7,19.8,61.6,,Census Bureau,Census Bureau-BEA
172,Other goods,22.8,7.7,8.4,8.4,24.5,14.8,9.8,9.2,33.8,,Census Bureau,Census Bureau-BEA
173,Services,1100.9,…,…,…,1132,…,…,…,1161.4,,NIPA,....
174,"U.S. exports of services, international-transactions-accounts basis (annual rates)",1088.6,1107.6,1122.2,1128.5,1119.5,1139.1,1150.7,1156,1148.6,,BEA,BEA
175,Imports,4061.2,…,…,…,4164,…,…,…,4149.7,,NIPA,....
176,Goods,3252.8,…,…,…,3331.8,…,…,…,3289.4,,NIPA,....
177,"U.S. imports of goods, international-transactions-accounts basis (annual rates)",3262.5,3345.4,3298,3428.2,3357.2,3240.2,3380.8,3517.7,3379.6,,Census Bureau-BEA,Census Bureau-BEA
178,Excluding gold,3243.5,3301.1,3279.4,3392.8,3324.4,3201.6,3325.9,3359.6,3295.7,,Census Bureau-BEA,Census Bureau-BEA
179,"U.S. imports of goods, Census basis (monthly and quarterly rates) 15",808.3,276.5,272.8,283.6,832.9,267.9,279.5,290.8,838.3,,Census Bureau,Census Bureau-BEA
180,"Foods, feeds, and beverages",52.3,17.5,18,18.8,54.3,18.2,19.5,19.2,56.9,,Census Bureau,Census Bureau-BEA
181,Industrial supplies and materials,167.2,57.8,53.9,56.1,167.7,52.8,56.5,67.3,176.7,,Census Bureau,Census Bureau-BEA
182,"Capital goods, except automotive",237,83.7,83.7,86.5,253.9,79,82.5,83.8,245.2,,Census Bureau,Census Bureau-BEA
183,"Automotive vehicles, parts, and engines",121.8,39.8,38.5,39.6,117.9,38.1,39.3,37.1,114.4,,Census Bureau,Census Bureau-BEA
184,Consumer goods,196.1,66.9,67.3,71.3,205.4,69.2,70.1,72.3,211.5,,Census Bureau,Census Bureau-BEA
185,Other goods,33.8,10.9,11.5,11.4,33.7,10.7,11.7,11.2,33.6,,Census Bureau,Census Bureau-BEA
186,Services,808.4,…,…,…,832.2,…,…,…,860.2,,NIPA,....
187,"U.S. imports of services, international-transactions-accounts basis (annual rates)",800.9,818.8,829.4,825.7,824.7,847.2,849.3,861.6,852.7,,BEA,BEA
188,Government consumption expenditures and gross investment,4943,…,…,…,5035,…,…,…,5098.1,,NIPA,....
189,Federal,1842.2,…,…,…,1893.4,…,…,…,1924.7,,NIPA,....
190,National defense 16,1051.5,…,…,…,1091.3,…,…,…,1110.6,,NIPA,....
191,DOD military outlays (not seasonally adjusted at monthly and quarterly rates),198.2,66.6,78.7,72.3,217.7,99.2,72.3,78.8,250.3,,Department of the Treasury,....
192,Nondefense 17,790.7,…,…,…,802.1,…,…,…,814.2,,NIPA,....
193,Outlays other than DOD military (not seasonally adjusted at monthly and quarterly rates),1576.5,507.5,607.9,391,1506.4,485.1,596.2,462.4,1543.6,,Department of the Treasury,....
194,State and local,3100.9,…,…,…,3141.6,…,…,…,3173.3,,NIPA,....
195,Consumption expenditures,2495.7,…,…,…,2525,…,…,…,2550.3,,NIPA,....
196,Compensation of general government employees,1742.7,…,…,…,1765.4,…,…,…,1792,,NIPA,....
197,Employment (thousands),20321.2,20389.2,20426.4,20454.3,20423.3,20496.4,20514.9,20542.8,20518,,Bureau of Labor Statistics,Bureau of Labor Statistics
198,Employment cost index (December 2005=100) 18,155.8,…,…,…,157.3,…,…,…,158.8,,Bureau of Labor Statistics,Bureau of Labor Statistics-BEA
199,Gross investment,605.1,…,…,…,616.6,…,…,…,623.1,,NIPA,....
200,Structures 19,471.2,…,…,…,479.4,…,…,…,485.5,,NIPA,....
201,Construction spending (value put in place) (annual rates),451.2,456.6,458.3,466.9,460.6,468.8,468.5,466,467.8,,Census Bureau,Census Bureau
Abbreviations,,,,,,,,,,,,,
BEA ,- Bureau of Economic Analysis,,,,,,,,,,,,
CPI  ,- Consumer Price Index - All urban consumers,,,,,,,,,,,,
NIPA,- National Income and Product Accounts,,,,,,,,,,,,
PPI ,- Producer Price Index,,,,,,,,,,,,
"1. See NIPA Handbook, Chapter 5: Personal Consumption Expenditures, for a detailed discussion of the concepts, source data, and estimating methods.",,,,,,,,,,,,,
2. Food services and drinking places receipts are not included in the calculation of the retail control measure. Estimates of personal consumption expenditures for food services are prepared separately with data on food services and drinking places from the Census Bureau's Advance Monthly Retail Trade Survey.,,,,,,,,,,,,,
"3. For more information, see ""How is BEA using the Census Bureau's quarterly services survey in its estimates of personal consumption expenditures?""",,,,,,,,,,,,,
"4. Net expenses of NPISHs, defined as their gross operating expenses less primary sales to households.",,,,,,,,,,,,,
"5. Gross output is net of unrelated sales, secondary sales, and sales to business, to government, and to the rest of the world; excludes own-account investment (construction and software).",,,,,,,,,,,,,
"6. Excludes unrelated sales, secondary sales, and sales to business, to government, and to the rest of the world; includes membership dues and fees.",,,,,,,,,,,,,
"7. See NIPA Handbook, Chapter 6: Fixed Investment, for a detailed discussion of the concepts, source data, and estimating methods.",,,,,,,,,,,,,
"8. Beginning with the fourth quarter of 2019, estimates for footage drilled in the third estimate reflect preliminary data provided by API that may not match API's published data.",,,,,,,,,,,,,
9. Other structures excludes brokers' commissions and net purchases of used structures.,,,,,,,,,,,,,
"10. NIPA purchases of equipment and the Census shipments series differ primarily because the NIPA series cover only business purchases on capital account, including purchases of imported equipment.  The Census series include some current-account purchases, mainly parts; include purchases by government, rest of the world, and persons; and exclude imported equipment.",,,,,,,,,,,,,
11. The value of single-family structures put in place is estimated by Census using data on the number of 1-unit structures started in the current and earlier months; the value of multifamily structures put in place is directly measured.,,,,,,,,,,,,,
"12. See NIPA Handbook, Chapter 7: Change in Private Inventories, for a detailed discussion of the concepts, source data, and estimating methods.",,,,,,,,,,,,,
13. NIPA estimates of change in private inventories for retail motor vehicle dealers are based on Census survey and trade source data on units produced and sold.,,,,,,,,,,,,,
14. Historical source data may reflect concurrent seasonal adjustment factors that are computed in conjunction with the GDP release.,,,,,,,,,,,,,
"15. For the Census-basis series, in the advance estimate, data for the latest month are from the U.S. International Trade in Goods Advance Report, released by the Census Bureau, and data for the earlier months are from the U.S. International Trade in Goods and Services Report, jointly released by the Census Bureau and BEA.  ",,,,,,,,,,,,,
"16. NIPA national defense consumption expenditures and gross investment differs from DOD military outlays in the Monthly Treasury Statement primarily because of coverage and timing. The DOD outlays do not cover defense atomic energy-related expenditures by the Department of Energy or consumption of general government fixed capital; the NIPA measure covers these expenditures. The DOD outlays record all transactions on a cash basis; the NIPA measure reflects gross investment in equipment on a delivery basis and compensation on an accrual basis. The NIPA measure is also adjusted to remove seasonal variation. For more information, see “How does BEA use the Monthly Treasury Statement (MTS) to produce estimates of defense spending?” ",,,,,,,,,,,,,
