18,Services,6.1,4.2,3.2,10.3,7.5,6.7,5.3,7.4,6.6,2.5,6.3,6.1,2,3.5,0.3,5.8,3.4,3.1,2.7
19,Imports,7.2,-2,0.7,12,12.7,5.9,6.7,13.4,11.6,-4.7,-4.5,-1.6,-4.6,0.1,0,2.6,2.1,-0.2,-0.3
20,Goods,7.5,-3.2,0.5,13.3,13.6,5.7,7.2,15.5,12.2,-6.8,-7,-2.6,-5.6,0.1,0.3,1.8,2.3,-0.5,-0.1
21,Services,6,3.1,1.6,5.5,8.8,6.8,4.6,4.1,8.8,5.2,7.1,2.8,0,0,-1.2,5.9,1.5,1.1,-1.1
22,Government consumption expenditures and gross investment,7.2,1.8,2.4,6.8,6.7,5.9,7,8.4,11.7,2.3,2.2,0.2,-1,4,1.3,3.7,2.1,2.4,2.1
23,Federal,5.8,4.3,3.3,3.1,4.4,4.8,5,6.6,7.5,5.3,4.1,4.3,3.5,3.8,3.8,3.6,2.8,2.4,2.7
24,National defense,6.5,4.4,3.6,4.3,4.7,4.7,5.2,8.7,9.5,3.9,3.8,3.6,4.4,4.5,4.9,3.8,2.7,1.9,2.3
25,Nondefense,4.8,4.3,3,1.5,3.9,5,4.8,3.8,4.9,7.2,4.6,5.2,2.4,3,2.5,3.2,3,3.2,3.1
26,State and local,8,0.4,1.9,9.2,8.1,6.6,8.1,9.6,14.3,0.6,1.1,-2.1,-3.7,4,-0.1,3.9,1.6,2.4,1.8
27,Final sales of domestic product,7.2,3.6,2.4,5.3,6.3,6.3,7.1,8.5,9.4,4.5,3.8,3.6,2,3.2,1.5,3,2.5,2,2.3
28,Gross domestic purchases,6.9,3.3,2.4,4.6,5.9,5.8,7,8.2,8.5,4.7,3.6,3.3,1.6,2.7,1.7,3,2.4,1.9,2.2
29,Final sales to domestic purchasers,6.9,3.4,2.4,4.7,6,5.9,7,8.2,8.6,4.7,3.7,3.2,1.7,2.7,1.7,3,2.5,2,2.2
30,Final sales to private domestic purchasers,6.9,3.7,2.4,4.2,5.9,5.9,7.1,8.1,8,5.2,4,3.9,2.3,2.4,1.8,2.9,2.5,1.9,2.2
31,Gross national product (GNP),7.1,3.6,2.4,5.2,6.2,6.2,7,8.5,9.3,4.5,3.7,3.6,1.9,3.2,1.5,3,2.5,1.9,2.3
32,GDP excluding food and energy 1,6.3,3.9,2.7,4.2,5.9,5.6,6.5,7,7.4,5.3,4.1,4.2,2.5,2.8,2.4,3.1,2.7,2.5,2.6
33,Gross domestic purchases excluding food and energy 1,6.2,3.5,2.5,3.9,5.6,5.4,6.2,7.2,7,5,4,3.6,2.2,2.5,1.9,3.2,2.6,2.4,2.3
34,PCE excluding food and energy 1,5.4,4.1,2.8,3.4,5.9,4.9,5.3,6.1,4.8,5.2,4.7,4.7,3.8,2.4,2,3.7,2.8,2.2,2.6
35,Market-based PCE 2,6.4,3.6,2.2,4,5.7,5.1,6.5,7.8,7.9,4.6,3.6,3.8,2.6,2.6,1.9,2.8,2.1,1.3,2.1
36,"Market-based PCE excluding food and energy 1,2",5,4,2.5,2.5,5,4.2,4.8,5.9,4.8,5.2,4.3,4.7,3.7,2.1,2.4,3.1,2.3,2,2.3
37,GDP,7.1,3.6,2.4,5.2,6.3,6.1,7.1,8.4,9.4,4.6,3.7,3.7,1.8,3.2,1.6,3,2.5,1.9,2.3
38,Gross domestic purchases,6.9,3.4,2.3,4.6,6,5.7,7.1,8.1,8.6,4.8,3.6,3.3,1.5,2.7,1.7,3,2.5,1.9,2.2
39,GNP,7.1,3.6,2.4,5.2,6.3,6.1,7.1,8.4,9.4,4.6,3.7,3.7,1.8,3.2,1.6,3,2.5,1.9,2.3
r Revised,,,,,,,,,,,,,,,,,,,,
"1. Food excludes personal consumption expenditures for purchased meals and beverages, which are classified in food services.",,,,,,,,,,,,,,,,,,,,
"2. This index is a supplemental measure that is based on household expenditures for which there are observable price measures. It excludes most implicit prices (for example, financial services furnished without payment) and the final consumption expenditures of nonprofit institutions serving households.",,,,,,,,,,,,,,,,,,,,
