Unnamed: 0,Percentage points at annual rates:,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
21,Financial services and insurance,-0.01,0.2,0.14,0.24,0.01,0.09,0.16,-0.22,-0.11,0.18,0.11,0.29,0.46,0.07,-0.01,0.31,-0.04,0.21,0.16
22,Other services,0.35,0.19,0.15,0.66,0.86,0.82,0.13,0.26,0.23,0.5,-0.1,0.41,0.04,-0.06,0.42,0.16,0.05,0.07,0.28
23,Final consumption expenditures of nonprofit institutions serving households,0.18,-0.11,0.14,-0.46,-0.51,0.08,0.28,0.37,0.3,0.08,-0.21,-0.33,-0.08,0.01,-0.03,0.28,0.33,0.17,-0.03
24,Gross output of nonprofit institutions,0.26,0.15,0.35,-0.53,0.41,0.25,0.53,-0.01,0.08,0.55,0.28,-0.08,0.04,0.05,0.38,0.64,0.17,0.61,0.04
25,Less: Receipts from sales of goods and services by nonprofit institutions,0.08,0.26,0.21,-0.07,0.91,0.16,0.25,-0.38,-0.21,0.48,0.49,0.25,0.12,0.04,0.41,0.36,-0.16,0.44,0.07
26,Gross private domestic investment,1.07,0.02,0.73,-0.28,-1.01,2.73,4.68,1.34,-1.67,-1.05,1.08,-1.63,1.42,1.8,0.16,0.64,1.47,0.16,-1.03
27,Fixed investment,0.48,0.43,0.66,1.65,0.99,-0.38,0.53,1.44,0.35,-0.33,-0.36,0.53,1.48,0.45,0.62,1.14,0.42,0.38,-0.2
28,Nonresidential,0.9,0.81,0.49,1.25,1.17,-0.21,0.47,1.66,0.94,1.01,0.76,0.71,1.3,0.16,0.52,0.61,0.53,0.55,-0.41
29,Structures,0.1,0.32,0.11,0.21,0.01,-0.11,-0.26,0.28,0.24,0.26,0.28,0.43,0.49,0.06,0.2,0.2,0.01,-0.16,0.09
30,Equipment,0.22,0.18,0.17,0.31,0.46,-0.54,0.1,0.75,0.05,0.33,0.05,0.04,0.61,-0.05,0.04,0.02,0.49,0.54,-0.47
31,Information processing equipment,0.13,-0.08,0.09,0.22,-0.01,-0.08,0.49,0.34,-0.15,0.14,-0.33,-0.07,-0.07,-0.04,0.16,0.06,0.13,0.29,-0.13
32,Industrial equipment,0.04,0.01,0.02,-0.02,0.2,0.07,0.06,0.07,-0.06,-0.06,0.08,0.02,0.01,-0.03,0.01,0.09,-0.05,0.06,-0.01
33,Transportation equipment,0.0,0.25,0.06,0.08,0.33,-0.51,-0.42,0.13,0.22,0.27,0.32,0.15,0.61,0.03,-0.17,-0.15,0.41,0.25,-0.23
34,Other equipment,0.05,-0.01,0.0,0.03,-0.05,-0.03,-0.02,0.2,0.05,-0.03,-0.01,-0.06,0.06,-0.01,0.03,0.02,0.0,-0.06,-0.1
35,Intellectual property products,0.58,0.31,0.21,0.72,0.7,0.44,0.63,0.63,0.65,0.42,0.42,0.24,0.21,0.15,0.28,0.4,0.04,0.17,-0.03
36,Software,0.32,0.16,0.14,0.49,0.35,0.22,0.26,0.45,0.31,0.22,0.27,0.06,0.11,0.14,0.21,0.24,0.05,0.06,0.06
37,Research and development,0.24,0.14,0.07,0.26,0.33,0.18,0.32,0.2,0.27,0.16,0.16,0.18,0.09,0.01,0.1,0.16,-0.01,0.11,-0.09
38,"Entertainment, literary, and artistic originals",0.03,0.01,0.0,-0.03,0.02,0.04,0.05,-0.02,0.06,0.05,-0.01,0.0,0.01,0.0,-0.02,0.0,-0.01,0.0,0.0
39,Residential,-0.42,-0.37,0.17,0.4,-0.18,-0.17,0.06,-0.22,-0.59,-1.34,-1.12,-0.18,0.17,0.3,0.1,0.53,-0.11,-0.18,0.22
40,Change in private inventories,0.59,-0.41,0.06,-1.93,-2.0,3.1,4.14,-0.1,-2.01,-0.72,1.44,-2.16,-0.06,1.34,-0.47,-0.49,1.05,-0.22,-0.84
41,Farm,-0.04,0.04,0.05,0.24,-0.09,0.0,-0.08,0.01,-0.09,-0.05,0.12,-0.1,0.28,0.05,-0.05,-0.02,0.17,0.04,0.0
42,Nonfarm,0.63,-0.45,0.02,-2.16,-1.91,3.11,4.23,-0.11,-1.92,-0.67,1.32,-2.06,-0.34,1.29,-0.42,-0.47,0.88,-0.26,-0.83
43,Net exports of goods and services,-0.42,0.49,-0.37,-1.14,-0.82,-1.1,-0.22,-2.4,0.5,2.5,0.56,0.33,-0.11,-0.1,0.09,-0.61,-0.9,-0.43,0.26
44,Exports,0.82,0.31,0.36,0.0,0.33,0.09,2.54,-0.51,1.4,1.63,-0.12,0.23,-0.54,0.53,0.66,0.21,0.12,1.01,-0.01
45,Goods,0.45,0.17,0.16,-0.1,0.09,-0.19,1.87,-0.74,0.84,1.53,-0.43,0.39,-0.86,0.53,0.37,-0.02,0.07,0.7,-0.33
46,Services,0.38,0.14,0.2,0.1,0.24,0.29,0.67,0.23,0.56,0.09,0.31,-0.17,0.31,0.0,0.29,0.23,0.05,0.31,0.32
47,Imports,-1.24,0.17,-0.73,-1.14,-1.15,-1.19,-2.77,-1.9,-0.9,0.87,0.68,0.1,0.44,-0.63,-0.57,-0.82,-1.01,-1.44,0.27
48,Goods,-0.81,0.22,-0.53,-0.94,-0.64,-0.12,-2.38,-1.6,-0.4,1.08,0.48,-0.04,0.57,-0.56,-0.19,-0.69,-0.9,-1.14,0.57
49,Services,-0.43,-0.05,-0.2,-0.2,-0.51,-1.07,-0.39,-0.29,-0.5,-0.21,0.21,0.14,-0.13,-0.07,-0.38,-0.13,-0.12,-0.29,-0.3
50,Government consumption expenditures and gross investment,-0.2,0.66,0.58,0.95,-0.78,-0.28,-0.04,-0.6,-0.27,0.26,0.9,0.84,0.48,0.94,0.61,0.3,0.52,0.86,0.52
51,Federal,-0.22,0.19,0.16,1.14,-0.58,-0.53,0.21,-0.58,-0.22,-0.04,0.54,0.28,-0.08,0.33,-0.02,-0.02,0.27,0.55,0.25
52,National defense,-0.15,0.12,0.11,-0.33,-0.11,-0.18,-0.14,-0.43,0.07,-0.11,0.26,0.17,0.03,0.24,-0.05,-0.09,0.23,0.48,0.18
53,Consumption expenditures,-0.15,0.06,0.08,-0.14,-0.09,-0.18,-0.18,-0.35,0.0,-0.02,0.03,0.18,-0.04,0.22,-0.05,-0.01,0.1,0.32,0.15
54,Gross investment,0.0,0.05,0.03,-0.19,-0.02,0.0,0.04,-0.08,0.07,-0.09,0.24,-0.01,0.07,0.01,0.0,-0.08,0.13,0.16,0.03
55,Nondefense,-0.07,0.07,0.05,1.47,-0.47,-0.35,0.35,-0.15,-0.29,0.07,0.28,0.11,-0.11,0.09,0.02,0.07,0.04,0.07,0.08
56,Consumption expenditures,-0.09,0.03,0.04,1.4,-0.53,-0.4,0.32,-0.16,-0.3,0.05,0.2,0.03,-0.14,0.1,-0.01,0.09,0.03,0.06,0.06
57,Gross investment,0.03,0.04,0.01,0.07,0.06,0.05,0.03,0.01,0.01,0.02,0.07,0.07,0.03,-0.01,0.03,-0.02,0.01,0.01,0.02
58,State and local,0.02,0.47,0.41,-0.19,-0.2,0.26,-0.25,-0.01,-0.05,0.29,0.36,0.56,0.56,0.62,0.63,0.32,0.25,0.31,0.27
59,Consumption expenditures,0.09,0.31,0.2,-0.01,0.08,0.44,-0.12,-0.04,0.07,0.27,0.29,0.44,0.28,0.28,0.21,0.18,0.16,0.22,0.18
60,Gross investment,-0.07,0.16,0.21,-0.17,-0.28,-0.19,-0.13,0.03,-0.12,0.02,0.07,0.12,0.29,0.33,0.42,0.14,0.09,0.09,0.09
r Revised,,,,,,,,,,,,,,,,,,,,
