35,Gross domestic purchases,2.3,4,4.7,5.8,6.7,7.4,7.1,6.3,5,3.3,2.8,2.3,2.3,2.5,2.3,2.4
36,Gross domestic purchases excluding food and energy 2,2.2,3.7,4.3,5.3,6.1,6.4,6.3,5.8,4.9,3.7,3.1,2.6,2.4,2.6,2.5,2.6
37,GDP,2.5,4.4,5.1,6.2,7,7.8,7.3,6.5,5.3,3.4,3.1,2.6,2.4,2.6,2.2,2.5
38,GDP excluding food and energy 2,2.3,4,4.6,5.5,6.2,6.6,6.5,6,5.3,4,3.4,3,2.7,2.8,2.7,2.7
39,PCE,2,4,4.6,5.8,6.6,6.9,6.7,6,5,3.9,3.4,2.8,2.7,2.6,2.3,2.5
40,PCE excluding food and energy 2,1.9,3.5,4,4.9,5.6,5.3,5.4,5.2,4.9,4.6,3.9,3.2,3,2.7,2.7,2.8
41,Market-based PCE 3,1.7,3.4,4,5.3,6.3,6.8,6.7,6,5,3.7,3.1,2.7,2.5,2.3,2,2.1
42,"Market-based PCE excluding food and energy 2,3",1.5,2.7,3.2,4.1,5,4.9,5.2,5,4.7,4.5,3.7,3.2,2.8,2.5,2.4,2.4
r Revised,,,,,,,,,,,,,,,,,
1. Gross domestic income deflated by the implicit price deflator for gross domestic product.,,,,,,,,,,,,,,,,,
"2. Food excludes personal consumption expenditures for purchased meals and beverages, which are classified in food services.",,,,,,,,,,,,,,,,,
"3. This index is a supplemental measure that is based on household expenditures for which there are observable price measures. It excludes most implicit prices (for example, financial services furnished without payment) and the final consumption expenditures of nonprofit institutions serving households.",,,,,,,,,,,,,,,,,
