37,Research and development,804.9,779.7,795,798.6,811.6,814.5,661.9,650.9,660.1,659.7,666.6,661.2,16.9,6.9,-5.4
38,"Entertainment, literary, and artistic originals",113.9,111.5,113.9,113.5,113.8,114.3,92.0,92.2,92.4,91.9,91.8,91.8,-0.9,-0.1,0
39,Residential,1186.1,1144.7,1180.7,1182.6,1179.7,1201.2,794.9,775.5,800.8,795.2,786.5,797.1,32.2,-8.7,10.6
40,Change in private inventories,52,56.7,21.4,96.8,76,13.6,39.0,44.6,17.7,71.7,57.9,8.9,6,-13.8,-49
41,Farm,6,-2.9,-3.5,7.7,9.7,10.1,1.7,-3.8,-3.1,2.7,3.7,3.5,4.1,0.9,-0.2
42,Nonfarm,46,59.6,24.9,89.1,66.3,3.5,37.2,48.6,21.2,68.9,54.0,4.9,1.7,-15,-49.1
43,Net exports of goods and services,-903.1,-791.2,-841.6,-906.9,-943.7,-920.1,-1033.6,-936.7,-977.0,-1035.7,-1069.2,-1052.7,-100.8,-33.6,16.6
44,Exports,3180.2,3091.7,3125.4,3154.3,3220.3,3220.9,2606.4,2559.6,2571.8,2578.4,2638.2,2637.2,82.6,59.8,-1
45,Goods,2059.2,2034.3,2037,2053.4,2088.3,2058,1731.6,1713.6,1712.5,1716.5,1759.0,1738.3,37.3,42.5,-20.7
46,Services,1121.1,1057.4,1088.4,1100.9,1132,1162.9,878.1,850.0,862.8,865.5,883.0,901.2,44.6,17.6,18.1
47,Imports,4083.3,3882.9,3967,4061.2,4164,4141,3640.0,3496.3,3548.7,3614.0,3707.4,3689.8,183.4,93.4,-17.6
48,Goods,3261,3106.5,3170.1,3252.8,3331.8,3289.4,2963.6,2846.1,2891.1,2949.9,3025.6,2987.9,135.5,75.7,-37.7
49,Services,822.3,776.4,796.9,808.4,832.2,851.6,676.0,649.8,657.4,664.4,682.1,699.9,46.6,17.6,17.9
50,Government consumption expenditures and gross investment,4989.7,4815.2,4881,4943,5035,5099.7,3941.8,3870.7,3887.7,3917.0,3966.2,3996.3,130.1,49.2,30
51,Federal,1867.6,1796.2,1810.3,1842.2,1893.4,1924.7,1503.7,1473.5,1472.2,1487.8,1520.0,1534.9,37.6,32.2,15
52,National defense,1070.4,1025.4,1028.4,1051.5,1091.3,1110.6,851.2,830.3,825.0,838.0,865.7,876.0,25.9,27.8,10.2
53,Consumption expenditures,838,802.7,810.8,823.7,851.2,866.5,652.3,637.3,636.8,642.5,660.7,669.1,18.4,18.3,8.4
54,Gross investment,232.4,222.7,217.6,227.8,240.1,244,200.1,194.1,188.9,196.7,206.5,208.3,7.7,9.8,1.8
55,Nondefense,797.2,770.8,781.9,790.7,802.1,814.2,652.4,643.2,647.3,649.8,654.0,658.7,11.6,4.2,4.7
56,Consumption expenditures,567.8,544.3,556.6,562.7,571.5,580.4,454.4,445.4,450.5,452.2,455.6,459.2,9.7,3.4,3.6
57,Gross investment,229.4,226.5,225.3,228,230.6,233.7,198.7,198.7,197.5,198.3,199.0,200.1,1.7,0.7,1.1
58,State and local,3122,3019,3070.7,3100.9,3141.6,3175,2436.9,2395.9,2414.0,2427.9,2445.3,2460.4,91.8,17.4,15.2
59,Consumption expenditures,2510.8,2434.7,2472.7,2495.7,2525,2549.9,1980.0,1954.6,1964.6,1973.4,1985.8,1996.0,46,12.3,10.2
60,Gross investment,611.2,584.3,598,605.1,616.6,625.1,454.2,439.1,446.8,451.7,456.7,461.5,44,4.9,4.8
61,Residual,....,....,....,....,....,....,-122.8,-120.8,-119.2,-114.1,-123.4,-134.6,....,....,....
62,Gross domestic income (GDI) 1,28980.2,28082.7,28499.2,28821.9,29055.4,29544.3,23141.6,22786.7,22953.0,23068.0,23145.7,23400.1,670.5,77.8,254.4
63,Average of GDP and GDI,29082.5,28189.8,28561.6,28919.3,29215.1,29634.1,23223.3,22873.7,23003.3,23145.9,23273.0,23471.2,652.2,127.1,198.2
64,Final sales of domestic product,29132.9,28240.3,28602.7,28919.9,29298.9,29710.2,23228.0,22881.9,23003.2,23113.1,23302.4,23493.4,621.4,189.3,191
65,Gross domestic purchases,30087.9,29088.1,29465.6,29923.6,30318.6,30643.9,24320.6,23887.4,24017.2,24242.6,24446.9,24575.8,727.5,204.3,128.9
66,Final sales to domestic purchasers,30036,29031.4,29444.2,29826.8,30242.6,30630.3,24243.4,23808.6,23967.1,24131.2,24348.5,24527.0,714.8,217.3,178.5
67,Final sales to private domestic purchasers,25046.3,24216.3,24563.3,24883.8,25207.6,25530.6,20310.3,19946.4,20088.1,20222.9,20390.7,20539.3,584.7,167.8,148.5
68,GDP,29184.9,28297,28624.1,29016.7,29374.9,29723.9,23305.0,22960.6,23053.5,23223.9,23400.3,23542.3,633.9,176.4,142.1
69,Plus: Income receipts from the rest of the world,1488.8,1454.2,1493,1504,1442,1516.2,1257.1,1247.9,1271.2,1272.7,1214.4,1269.9,37.4,-58.3,55.6
70,Less: Income payments to the rest of the world,1430.6,1359.3,1410.8,1444.1,1428.9,1438.6,1208.2,1166.8,1201.5,1222.3,1203.6,1205.2,74.7,-18.7,1.6
71,Equals: Gross national product,29243.1,28391.8,28706.3,29076.6,29388.1,29801.5,23368.5,23054.3,23136.5,23288.7,23427.7,23620.9,599.1,139,193.2
72,Net domestic product,24368.6,23628.5,23910,24235.7,24521,24807.8,19383.9,19111.9,19177.9,19317.6,19463.7,19576.5,519.8,146,112.8
r Revised,,,,,,,,,,,,,,,,
1. Real gross domestic income is gross domestic income deflated by the implicit price deflator for gross domestic product.,,,,,,,,,,,,,,,,
"Note. Users are cautioned that particularly for components that exhibit rapid change in prices relative to other prices in the economy, the chained-dollar estimates should not be used to measure the component's relative importance or its contribution to the growth rate of more aggregate series. For accurate estimates of the contributions to percent changes in real gross domestic product, use table 2.",,,,,,,,,,,,,,,,
